id,status,firmware,component,address_or_symbol,claim,evidence_file,confidence,next_dependency
E001,VERIFIED,CXDF,LinuxLoader,0x25EE0,Lock/unlock transition function,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,
E002,VERIFIED,EZB6,LinuxLoader,0x26020,Lock/unlock transition matches CXDF at 100%,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,
E003,VERIFIED,EZB6,LinuxLoader,D5D90,Indexed .data bitmap bit-test,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,bitmap producer
E004,VERIFIED,EZB6,LinuxLoader,bitmap bit 3,Directly supplies retained unlock-transition input,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,bitmap producer/meaning
E005,VERIFIED,EZB6,BLDP,C5A10,bldp_init,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,
E006,VERIFIED,EZB6,BLDP,C7CF0,bldp_set_data and bookkeeping/publication,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,
E007,VERIFIED,EZB6,LinuxLoader,0x18DB94,Global has CXDF analogue 0x19BFDC and direct reads but no direct store,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,producer/meaning
E008,UNKNOWN,EZB6,LinuxLoader,0x18DB94,Authoritative producer and semantic meaning unresolved,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,,0x5C4B0/0x61 readers
E009,VERIFIED,EZB6,CXDF+EZB6 LinuxLoader,0x5C4B0,CCIC ADC wrapper uses 0x18DB80 as callback buffer and does not access 0x18DB94 (+0x14); retained CXDF analogue 0x5C2E0,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,exclude 0x5C4B0 as unlock-state producer
E010,VERIFIED,EZB6,CXDF+EZB6 LinuxLoader,0x18DB94,0x61 readers are retained BootChecker recovery-key and SAPA RTC/power routines with same CXDF comparison; bounded call traversal has no unlock transition path,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,exclude observed readers as unlock request source
E011,VERIFIED,EZB6,CXDF+EZB6 LinuxLoader,0x1A8120,Runtime-zeroed bitmap is an EM-token result vector; BLInitToken invokes retained BL_EM_CMD_INIT/BLEmProcess immediately before bit-3 transition use,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,external EM transport/response remains producer unknown
